2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: test_logs
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:128 | Log file: test.log
2026-03-22 13:14:02 | INFO     | src.core.logger:setup_logger:129 | Error file: test_error.log
2026-03-22 13:14:02 | INFO     | __main__:<module>:46 | Test info message from logger
2026-03-22 13:14:02 | WARNING  | __main__:<module>:47 | Test warning message
2026-03-22 13:14:02 | ERROR    | src.core.logger:log_exception:190 | Data parsing failed | Context: file=data.json, line=42
2026-03-22 13:14:02 | ERROR    | src.core.logger:log_exception:191 | Exception details: [PARSE_ERROR] Parse error for json data: Invalid JSON format (data: {invalid json})
2026-03-22 13:14:02 | ERROR    | src.core.logger:log_exception:194 | Exception traceback:
src.core.exceptions.ParseError: [PARSE_ERROR] Parse error for json data: Invalid JSON format (data: {invalid json})
2026-03-22 13:17:11 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:17:11 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:17:11 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:17:11 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:17:11 | INFO     | __main__:<module>:141 | Test log message from verification script
2026-03-22 13:18:10 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:18:10 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:18:10 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:18:10 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:18:10 | INFO     | __main__:<module>:141 | Test log message from verification script
2026-03-22 13:19:16 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:19:16 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:19:16 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:19:16 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:19:16 | INFO     | __main__:<module>:141 | Test log message from verification script
2026-03-22 13:22:28 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:22:28 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:22:28 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:22:28 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:22:28 | INFO     | __main__:<module>:75 | Test log from verification
2026-03-22 13:23:11 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:23:11 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:23:11 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:23:11 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:23:11 | INFO     | __main__:<module>:75 | Test log from verification
2026-03-22 13:23:56 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 13:23:56 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 13:23:56 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 13:23:56 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 13:23:56 | INFO     | __main__:<module>:95 | Test log message
2026-03-22 14:23:53 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 14:23:53 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 14:23:53 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 14:23:53 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 14:25:33 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 14:25:33 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 14:25:33 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 14:25:33 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 14:29:52 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 14:29:52 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 14:29:52 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 14:29:52 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 14:31:01 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 14:31:01 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 14:31:01 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 14:31:01 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 14:35:52 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 14:35:52 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 14:35:52 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 14:35:52 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 14:35:52 | INFO     | src.core.request_handler:__init__:98 | RequestHandler initialized with base_url: https://httpbin.org
2026-03-22 14:35:55 | INFO     | src.core.request_handler:close:382 | RequestHandler closed. Statistics: {'request_count': 2, 'error_count': 0, 'success_rate': 1.0, 'elapsed_seconds': 2.774004, 'requests_per_second': 0.7209794939012344, 'cache_size': 0, 'start_time': '2026-03-22T14:35:52.996443'}
2026-03-22 14:35:55 | INFO     | src.core.base_crawler:__init__:75 | Crawler initialized for platform: netease
2026-03-22 14:35:55 | INFO     | src.core.base_crawler:close:253 | Crawler closed. Statistics: {'platform': 'netease', 'request_count': 0, 'error_count': 0, 'success_rate': 0.0, 'elapsed_seconds': 0.000491, 'requests_per_second': 0.0, 'start_time': '2026-03-22T14:35:55.771023'}
2026-03-22 14:35:55 | INFO     | src.core.request_handler:__init__:98 | RequestHandler initialized with base_url: None
2026-03-22 14:36:03 | WARNING  | src.core.request_handler:_request_with_retry:317 | Request failed: GET http://nonexistent.example.com - HTTPConnectionPool(host='nonexistent.example.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPConnection(host='nonexistent.example.com', port=80): Failed to resolve 'nonexistent.example.com' ([Errno 11001] getaddrinfo failed)"))
2026-03-22 14:36:03 | INFO     | src.core.request_handler:close:382 | RequestHandler closed. Statistics: {'request_count': 1, 'error_count': 1, 'success_rate': 0.0, 'elapsed_seconds': 7.296278, 'requests_per_second': 0.13705618124747987, 'cache_size': 0, 'start_time': '2026-03-22T14:35:55.771702'}
2026-03-22 14:54:20 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 14:54:20 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 14:54:20 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 14:54:20 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:01:17 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:01:17 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:01:17 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:01:17 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:02:24 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:02:24 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
2026-03-22 15:02:24 | INFO     | src.core.logger:setup_logger:128 | Log file: musicfun.log
2026-03-22 15:02:24 | INFO     | src.core.logger:setup_logger:129 | Error file: musicfun_error.log
2026-03-22 15:03:30 | INFO     | src.core.logger:setup_logger:126 | Logger initialized. Log directory: C:\Users\Admin\IdeaProjects\MusicFun\data\logs
2026-03-22 15:03:30 | INFO     | src.core.logger:setup_logger:127 | Log level: INFO
